"Fund","Department ID","Department","Short Title","Link to Website","Department Description","Control Officer","Appropriations 1993","Appropriations 1994","Appropriations 1995","Appropriations 1996","Appropriations 1997","Appropriations 1998","Appropriations 1999","Appropriations 2000","Appropriations 2001","Appropriations 2002","Appropriations 2003","Appropriations 2004","Appropriations 2005","Appropriations 2006","Appropriations 2007","Appropriations 2008","Appropriations 2009","Appropriations 2010","Appropriations 2011","Appropriations 2012","Appropriations 2013","Appropriations 2014","Appropriations 2015","Appropriations 2016","Appropriations 2017","Expenditures 1993","Expenditures 1994","Expenditures 1995","Expenditures 1996","Expenditures 1997","Expenditures 1998","Expenditures 1999","Expenditures 2000","Expenditures 2001","Expenditures 2002","Expenditures 2003","Expenditures 2004","Expenditures 2005","Expenditures 2006","Expenditures 2007","Expenditures 2008","Expenditures 2009","Expenditures 2010","Expenditures 2011","Expenditures 2012","Expenditures 2013","Expenditures 2014","Expenditures 2015","Expenditures 2016"
"Public Safety Fund",373,"Clerk of the Circuit Court District 3 - Rolling Meadows","Rolling Meadows Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",2412284,2338851,2514642,2559061,2833661,2976319,3034036,3386446,3543735,0,0,0,0,0,0,0,0,0,0,,,,,,,2269767,2271140,2415388,2560633,2669021.5,2800990.84,3023062,3339704.87,3122949,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",374,"Clerk of the Circuit Court District 4 - Maywood","Maywood Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",2291811,2238795,2431386,2453995,2574535,2729316,2775474,3046927,3285140,0,0,0,0,0,0,0,0,0,0,,,,,,,2150724,2229108,2316673,2381009,2473704.57,2601140.33,2713257,3038507.52,3057519,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",375,"Clerk of the Circuit Court District 5 - Bridgeview","Bridgeview Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",2332319,2110729,2306083,2381067,2712313,2876938,2963482,3279511,3575434,0,0,0,0,0,0,0,0,0,0,,,,,,,2221123,2182854,2274659,2391244,2607235.36,2722391.67,2976045,3199540.09,3459057,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",376,"Clerk of the Circuit Court District 6 - Markham","Markham Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",2725343,2838926,3055325,3024016,3388096,3547273,3637858,3978418,4177851,0,0,0,0,0,0,0,0,0,0,,,,,,,2772594,2851967,2973644,3060209,3268296.96,3433345.28,3651138,3972454.71,4059907,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",390,"Public Administrator","Public Administrator","https://www.cookcountyil.gov/agency/public-administrator-0","The Office of the Public Administrator serves the citizens of Cook County by providing comprehensive investigative and estate administrative services for people who die in Cook County intestate (without a will), or where there is no person in Illinois with the right or desire to administer the estate.","President",761086,759129,791081,820146,963670,885916,890610,969368,1032389,1055427,1102974,1131944,1257700,1037958,969106,1095100,1081703,1212475,1172007,1160479,1143832,1097074,1109485,1111234,1393586,707009,735485,755618,790170,867637.51,836532.2,881246,964794.02,1022894,1049042,1043689.24,1040777,1237849,1000990.22,932300,1092628.73,1169175.38,1121531.28,1113148.08,1145354.84,964691.88,978491.61,971362.58,1114881.41
"Public Safety Fund",440,"Juvenile Temporary Detention Center","Juvenile Detention","https://www.cookcountyil.gov/agency/juvenile-temporary-detention-center","The Juvenile Temporary Detention Center provides temporary secure housing for youth from the age of 10 through 16 years, who are awaiting adjudication of their cases by the Juvenile Division of the Cook County Courts.","Chief Judge",16693241,16569303,18596189,19923796,22789668,23647454,24422783,25519060,28863533,27844783,27888017,28764920,23523526,22561791,21591911,30966600,40997789,39525228,38386506,40462696,41928602,50842085,53269139,57920297,70948328,16865572,16426187,16949318,18663410,20302241.47,21227449.04,23605873,25279427.94,26866569,25877586,26515749.93,28448148,21456863,21653431.03,23862647,30313988.78,40413164.86,40824064.02,42058349.28,45873784.28,39877879.91,49312256.04,54537018.75,58929108.04
"Public Safety Fund",451,"Department of Adoption and Family Supportive Services","Child Custody","https://www.cookcountyil.gov/agency/adoption-and-child-custody-advocacy-0","This Department advocates for Children of Cook County where parental permanency involving adoption, custody, probate, mediation and visitation is at question.","President",977009,997906,1077224,1021667,1075950,1050551,937506,1012522,1075958,1096165,1090276,1163531,876022,860653,654000,945100,771766,732899,664546,613999,688361,682102,736391,738807,919393,935778,931292,836979,870939,947294.75,931761.54,887733,921164.8,1006300,1003693,996971.97,991724,874596,905537.84,766651,697657.99,789364.95,796795.6,620078,586096.46,667873.81,715514.95,684768.3,659552.23
"Corporate Fund",452,"Veterans' Assistance Commission","Veterans","https://www.cookcountyil.gov/agency/veterans-affairs","The Veterans Assistance Commission promotes and protects the rights of veterans and their immediate family members through education, communications, and technology.","President",278602,296663,347987,344214,385206,451979,473139,487806,522633,517764,536701,556709,512420,503670,410690,496600,461469,438396,437637,362360,0,400000,400000,575000,0,282827,280057,291024,343851,464462.13,417076.87,432973,453758.63,491491,551292,526354.49,510140,501914,314698.36,418982,403462.53,387681.12,366432.31,404711.86,370236.44,0,395134.64,400000.06,548954.9
"Corporate Fund",460,"County Superintendent of Schools","Superintendent of Schools",,"Funded by County until 1995. Duties were transferred to the State Board of Education in 2010. The current regional office of education is responsible for issuing teacher certification, holding ongoing instructional sessions for educators and certifying new school bus drivers, among other things.","County Superintendent of Schools",1550901,1288519,,,,,,,,,,,,,,,,,,,,,,,,1353242,827105,,,,,,,,,,,,,,,,,,,,,,
"Corporate Fund",490,"Fixed Charges and Special Purpose Appropriations - Corporate","Fixed Charges",,"Charges shared county wide - electricity, gas, etc","Countywide Costs",4701559,5794959,10499718,10633222,7469360,7203553,8707117,10044299,12192404,9572229,12495826,13953877,36888293,35189518,46047299,43182700,39824962,71571624,62729988,58443830,40784692,55139935,65988238,327583377,405797950,2500949,2028703,5789743,8516604,4416061.42,3106527.81,4124724,4896134.97,4341376,2543088,1869733.35,10298577,28597486,31939224.52,36466778,29662459.03,32289995.66,68675286.89,31971070.16,53146129.57,37280164.24,52782496.85,52697956.84,322381651.7
"Public Safety Fund",499,"Fixed Charges and Special Purpose Appropriations - Public Safety","Fixed Charges",,"Designed to facilitate the timely reimbursement of funds for special purposes within the Public Safety Fund. Includes expenses for utilities county wide, health insurance for all employees, etc.","Countywide Costs",40099450,34231107,38237775,33192746,31693096,38877294,49222197,43219411,36878632,37368531,37035235,38039081,195336965,208650520,253221745,215491700,211221407,207773809,404273006,344981298,300352598,287980665,256862356,240251817,68694745,38003339,9405288,23329368,27277745,25910015.08,24980812.2,28489412,23054217.85,28646694,18516692,22450098.04,36775652,164853454,181588910.8,204727357,198455086.9,228815980.7,244582087.6,319021068.2,254675854.7,260086523.4,281838326.4,271095229.3,258721016
"Corporate Fund",500,"Department of Transportation & Highways","Highway","https://www.cookcountyil.gov/agency/transportation-and-highways-0","The Cook County Department of Transportation & Highways was established in 1913 by the State of Illinois upon approval of the first officially recorded County highway system maps. The present day system has evolved to include jurisdictional authority over 557 center line miles of highways. The Department has maintenance responsibilities for 1,474 lane miles of pavement, 130 bridges, 332 traffic signals and 5 pumping stations from five maintenance garages.","President",35105802,30738897,30686714,28152054,28954996,29732397,30063349,32062232,31930979,31032838,31128464,30918957,24715005,23613672,18468414,17175100,16645329,15048718,9276334,7668170,6377733,5723843,5830891,5368815,848922,27292050,26390910,26465977,26102246,27155214.21,26954140.2,27345390,27670397.58,28032136,27996447,27730805.62,27847734,23002500,22066016.36,18137592,17922987.84,16353259.76,15359827.9,8147777,6816979.98,6022879.49,5859928.22,5760099.91,5016116.34
"Special Purpose Fund",501,"MFT Illinois First (1st)","Motor Fuel Tax",,"Special tax set aside for planing, designing, construction, maintenance and operation of highways that will provide safe, efficient, comfortable and economical movement of people and goods.","President",,,,,,,,2479297,3972019,5205665,7656160,9168486,10118570,8729340,9847217,13128800,13318352,14652754,21027216,21946330,21960729,22748938,23504319,25925235,48214617,,,,,,,,,1766488,2844941,4459198.47,5971812,6924626,6768705.42,8028808,8649737.03,10832117.51,12730210.74,19308914.78,20923651.68,20490985.48,21008939.37,22634019.37,23196876.49
"Special Purpose Fund",510,"Animal Control Department","Animal Control","https://www.cookcountyil.gov/agency/animal-and-rabies-control-0","The Cook County Animal and Rabies Control clinics allow affordable rabies vaccinations to bring all citizens into compliance with the law while providing an essential public health protection against a deadly disease that has caused public health concerns in four states over the past two years.","President",701854,626694,1185459,1382754,1617310,1559165,1481466,1705686,2011819,2027565,3139405,2705266,3035972,2895043,2925550,3089300,3448434,2990557,3077974,3161093,3411065,3452832,4095046,3606405,4795521,652497,607677,1008079,1279286,1531258.05,1227144.38,1114882,1298303.04,1668326,1984691,2669712.34,2129809,2479187,2172864.75,2519030,2353945.16,2628508.26,2367807.36,2938422,2317953.76,3033245.03,3133225.63,3076232.27,3187122.55
"Special Purpose Fund",524,"County Clerk - Election Division Fund","Clerk - Election Fund",,"The Election Division ensures that all eligible suburban residents are able to exercise their rights in the electoral process; that all candidates have fair, open, and equal access to all stages of the process; and that the public is fully and promptly informed of all vital and neccessary elction-related information.","County Clerk",11125542,11638734,10976884,15313523,12522347,15002521,10440698,16735309,16400586,18423441,20010017,19426068,20331156,20166456,18955738,27563700,22282259,25305360,19200323,24209439,18804383,24038039,18867847,24790623,20914046,8693802,10929131,9457288,13405806,10910851.03,13756767.57,9413751,14744336.13,14148894,16768401,17569929.6,17345760,19246460,18332045.73,18294606,26410043.37,18598839.12,22024999.41,16444375.59,23277512.61,18331669.06,21031591.5,17704676.6,24668883.62
"Special Purpose Fund",525,"Board of  Election Commissioners - Election Fund","Board of Election",,"Provides an election system that is equitable and transparent for all citizens.","County Clerk",,7595689,,7362775,0,7569341,0,8804080,,7941400,,10527434,0,13218298,0,17422700,4051985,17615482,482852,17397209,908102,16189445,1063158,17861077,1089581,,6693009,,5962828,,6890226.7,0,8166670.95,,9467798,,9737697,0,11053745.94,0,15709917.11,3630344.94,17319179.27,478572.95,16887602.78,1881057,12203844.78,923061.78,16938716.64
"Special Purpose Fund",527,"County Recorder Document Storage System Fund","Document Storage Fund",,"Created to assist the Recorder of Deeds Office in its efforts to establish, promote, and maintain various technology initiatives that allow the Office to gather data and make it available for public review and corporate consumption.","Recorder of Deeds",3347206,3724714,3482085,3607228,3542413,3329405,3533721,4526330,4052589,3755851,3679867,5674907,2753511,5116395,4250746,4270000,5341516,5727916,2965658,2729796,3231719,4771195,5723112,4925288,3782689,2954549,3593035,3113660,3404505,1669433.86,3031100.14,3288486,4116775.27,3782883,3469069,3208566.27,4739383,2017185,4394634.31,2427068,3524621.76,4830378.42,4241171.73,3019311.71,2755953.64,2898924.5,3984562.07,5297097.94,5053464.43
"Special Purpose Fund",528,"Clerk of the Circuit Court Automation Fund","Automation Fund",,"Established for the payment of any costs that relate to the automation of court records, including hardware, software, research and development costs as well as personnel.","Clerk of the Circuit Court",7342569,7947766,6249731,7507101,7510939,7347380,7510088,7459078,6652702,6839159,7389001,7111857,6810983,9580505,11099481,13483300,16735558,21324354,15198394,13021447,9336276,10617929,9551479,10314789,9900042,4847956,7347319,5275499,6833279,6750655.31,6232497.73,6873372,6189736.06,6106481,6407202,6953718.86,6328749,6202437,7934608.7,9223153,11493585.96,13591768.93,18006834.32,15414595.07,12987788.45,10999711.61,10996402.74,8883780.21,9332333.15
"Special Purpose Fund",529,"Clerk of the Circuit Court Document Storage Fund","Document Storage Fund",,"Established for the expense of estab;lishing and maintaining a court document storage system, and for the payment of expenditures for converting court records to electronic or micrographic storage format.","Clerk of the Circuit Court",5628312,5739255,3883680,6984934,7544463,9854046,10141518,10051799,8327881,7991622,6923666,5076690,5144621,10641362,11161765,11843200,20002129,20545849,15915399,15846600,9409841,9842419,8313539,8979522,8687391,4199388,4020189,3594827,3796985,3934662.95,4952376.34,4957568,5391702.58,6727828,5635971,5916794.09,4472793,4544764,7058266.77,9402701,9715595.73,12776602.93,12969134.79,14822241.61,14741623.83,9595945.73,9598617.29,8518163.26,8134165.13
"Special Purpose Fund",530,"Cook County Law Library","Law Library","https://www.cookcountyil.gov/agency/law-library","The Cook County Law Library provides professional library services at seven branch locations offering one of the largest and broadest collections of law books in the nation, including statutes, case law and digests for all fifty states, as well as numerous Illinois practice manuals.","President",4065875,4405186,4572129,4887131,4966524,5077582,5278586,5278405,5840445,5298117,6117361,5719853,7210765,6312212,6415981,5393800,5399652,5863622,6133209,6955212,6846942,6003918,5421021,4929020,4891570,3960999,4307143,4273723,4691435,4776783.59,4733500.83,4917330,5147064.92,5683917,4996435,5878618.88,5339579,6583351,5955785.95,6219050,5007543.73,5451194.33,5081640.56,6913793.39,6459321.34,4915392.45,5194222.95,4875843.46,5569245.11
"Special Purpose Fund",531,"Circuit Court - Illinois Dispute Resolution Fund","Dispute Resolution Fund",,"Fees collected from civil filings for disbursement to dispute resolution centers which qualify under the Act and Circuit Court of Cook County General Order 19. Funds collected in excess of $200,000 per year must be dedicated for the administration of justice.","Chief Judge",200100,200100,200100,200100,200000,200000,200000,200000,200000,200000,200000,200000,200000,350705,200000,200000,200000,200000,700277,400000,280000,225000,295000,251503,196547,200000,200000,200000,,200000,200000,200000,200000,200000,200000,200000,200000,200000,350705,200000,200000,200000,200000,708103,300000,200000,221560.22,177073.5,192553
"Special Purpose Fund",532,"Adult Probation and Probation Service Fee Fund","Probation Service Fund",,"Fees collected from certain adult offenders by order of the court. These fees are generally used to purchase services related to probation program operations, not otherwise covered by county funding","Chief Judge",,,,1172968,1903972,2221993,2404228,2951060,4417710,4567717,4511354,3613484,3930440,3988867,2891180,3754000,3903405,3939583,6416400,3313898,5887346,4324052,4427766,4165840,6055156,,,,101738,264177.32,167205.49,719276,1584817.24,1377619,2839758,2753425.3,2244737,2820171,3142210.75,2604410,3068248.7,3446772.09,2826383.62,6160438.4,3416367.04,4669149.77,4250502.29,3823272.87,4079649.64
"Special Purpose Fund",533,"County Clerk - Automation Fund","Automation Fund",,"Established to provide funding to develop, upgrade and maintain automated services in Tax Services, Vital Records, Clerk of the Board and Ethics on order to reduce costs, improve services and increase productivity.","County Clerk",,,498560,946653,1006746,821076,943167,1001195,857185,997736,1106282,1252658,1137642,1661649,1320278,1475900,1136600,1059150,1592205,1297273,1398057,1573300,1401860,1579042,1683208,,,279057,849743,821162.97,478706.88,743545,782914.24,761435,849700,946957.61,968005,989973,1147806.67,1105335,1360293.77,856002.32,768374.81,1326190.75,1137615.86,1045636.64,1244195.94,1343255.73,1565765.75
"Special Purpose Fund",534,"County Treasurer - Tax Sales Automation Fund","Tax Automation Fund",,"Established to develop relational databases, computer networks, Internet services and imaging systems that collectively provide for efficient, economical and financially sound services for both taxpayers and taxing agencies.","Treasurer",,,,,,,289255,484116,782028,2986611,1090614,1261817,1712818,1851582,1685935,6172500,7214655,7625660,8687961,8913040,9749966,9605533,10483791,11137938,11690191,,,,,,,81033,457135.96,746961,2691027,777067.97,1171653,1456492,890634.12,792213,5421006.88,6495335.45,6797157.29,7145651.37,8129107.13,9223810.74,7753781.56,10246833.34,9716321.05
"Special Purpose Fund",535,"Intergovernmental Agreement and ETSB","Intergovernmental",,"Provides 9-1-1 telephone service to unincorporated Cook County and the municipalities of the 9-1-1 telephone system, providing emergency telephone access to all areas of unicorporated Cook County and the municipalities of Dixmoor, Ford Heights, Golf, Northlake, Phoenix, Robbins, and Stone Park.","Sheriff",,1086500,164005,159624,139074,240875,271652,612310,776457,1028017,1060206,1192089,1163086,1008221,986398,1049400,1084610,1247080,1570336,3403181,3141002,1141335,1552805,3106103,1917470,,29358,42066,44878,127118.49,212527.87,261324,486239.49,752088,966771,1065388.06,1147621,1156626,969565.26,949760,1036866.89,1201212.34,1465944.38,1846686.57,4248207.42,3956434.24,1190662.49,1720570.08,2086248.51
"Special Purpose Fund",537,"911 Surcharge Reallocation Program","911 Surcharge",,,"Sheriff",,,,,,,,,,,,355055,64100,59600,0,0,0,0,0,,,,,,,,,,,,,,,,,,19099,255485,31485.94,,0,0,0,,,,,,
"Special Purpose Fund",538,"Juvenile Probation - Supplementary Officers","Juvenile Officers",,"Established to recognize supplemental funding received through the Illinois Supreme Court, Administrative Office of the Illinois Courts to fund additional Juvenile Probation Officer positions. These positions were merged into Juvenile Probation under Public Safety in FY15.","Chief Judge",,,,,,,1033529,2318964,2178782,2951903,3181146,3419272,3454134,3537038,3859446,4350500,4409858,2848605,6915603,6768931,4484285,3240516,0,0,0,,,,,,,874671,1474538.84,2625890,2635617,2888030.26,3181561,3233156,3421204.32,3714310,4785671.39,4009077.04,3067089.33,5720316.84,6840238.46,4084377.71,3447877.02,0,0
"Special Purpose Fund",541,"Social Service/Probation and Court Services Fund","Court Services Fund",,"Fees collectd from certain adult offenders by order of the court. These fees are generally used to purchase services related to probation program operations, not otherwise covered by county funding","Chief Judge",,,,66774,1042120,1061580,1092450,1381650,2058378,2433180,2286040,7550184,6957509,4377572,2345588,2825200,3785922,4057848,5376087,2749049,3190049,2944994,2943071,4415891,5830592,,,,13142,110135.89,206982.58,925950,1194166.95,1844306,1780978,1531985.96,7052028,6561562,3492379.63,2323988,2790520.71,3352147.57,3771392.49,5242703.7,2128971.53,3053652.1,2349496.45,2730930.86,4437074.3
"Special Purpose Fund",542,"Self - Insurance Fund","Self - Insurance",,"Established to record expenditures and revenues related to liability.","President",,,,,32983701,40032500,42314811,56829929,54406790,57181608,57250734,74600166,64430478,108141402,82177672,94498400,0,0,0,,0,0,0,0,0,,,,,5223206.67,28264449.16,42502486,52919797.67,51676781,45866785,46168085,41201776,56764473,60181873.45,60051392,101394349.3,0,0,"-3,935.71",500716.77,0,-1817.1,-810,"-17,790,841"
"Special Purpose Fund",543,"Managed Care Support Fund","Managed Care",,,"Countywide Costs",,,,,18600000,17300000,9800000,4413000,3581219,2338977,791791,517811,464252,385000,405355,338000,0,0,0,,,,,,,,,,,1591026,9289765.9,5604768,1001553.61,1239891,2028041,560139.26,424109,141959,3056,273865,0,0,0,,,,,,
"Special Purpose Fund",544,"Lead Poisoning Prevention Fund","Lead Poisoning",,"To redure the danger of lead-based paint in Cook County dwellings.","Cook County Health and Hospital System",,,,,,,,,848170,3415862,3747398,3968295,3933037,3651701,6139160,3894800,3822911,3775173,2965553,1388957,1872298,1227008,1204656,1398334,4142223,,,,,,,,,52901,2416516,442860.07,2876353,2936230,3467198.82,1324544,2832744.8,2117846.91,1063726.07,1046542.44,1076224.8,891509.03,850764.28,906945.95,635337.16
"Special Purpose Fund",545,"Geographic Information Systems","GIS","https://www.cookcountyil.gov/agency/geographic-information-systems-gis-0","Provides maintenance of and access to Cook County's enterprise geographic information system (GIS), including related hardware, software, applications, program development and training.","President",,,,,,,,,,,2015792,2015792,3689497,3811904,4009169,13241600,9997731,12445017,6051817,17834776,13272632,15461850,20165337,18215604,12733799,,,,,,,,,,,1456034.19,956542,738382,2394542.85,4284568,4768172,5682736.8,9143338.82,5504938.7,11557772.85,10823755.72,9809022.07,19086490.06,6263519.27
"Special Purpose Fund",546,"Sheriff's Youthful Offender Alcohol & Drug Education","Youthful Education",,"Provides an educational alternative to youthful offenders and their parents to assist the court and community in decreasing alcohol and other drug use while increasing information regarding the negative consequences of such use.","Sheriff",,,,,,48000,30000,28000,19314,17812,21766,25398,25551,14303,0,15700,15138,9396,9018,8635,2400,2400,0,0,0,,,,,,26925.65,28838,18294.61,8358,8031,14557.58,20052,12627,7623.7,,10558.04,10774.92,6012.26,849.45,0,0,0,0,0
"Special Purpose Fund",548,"Ford Heights Public Housing Security","Security",,,"Sheriff",,,,,,175000,175000,175000,175000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,105293.15,178636.89,179577,176937.36,81932,0,0,0,0,0,0,0,0,0,,,,,,
"Special Purpose Fund",560,"State's Attorney Narcotics Nuisance Abatement","Nuisance Abatement",,,"States Attorney",,,,,,,,,,,,,476307,622416,620242,0,0,0,0,,,,,,,,,,,,,,,,,,,449978,556326.42,490671,0,0,0,,,,,,
"Special Purpose Fund",561,"State's Attorney Narcotics Forfeiture","Narcotics Forfeiture",,"Established to work with other agencies on various drug related cases","States Attorney",,,,,,,,,,,,,2991076,2985652,3132061,3247800,3151650,3268993,3455853,3384472,4117230,4227001,4380216,4171887,3382089,,,,,,,,,,,,,1854675,2325012.93,2351963,3199527.76,2709950.7,2980926.95,3146547.11,3940610.31,4067344.77,4095015.52,4048014.91,3990068.18
"Special Purpose Fund",562,"State's Attorney Bad Check Diversion Program","Bad Check Diversion",,"Offers pre-trial educational diversion program for first time bad check passers, while providing restitution to victims and avoiding an increased caseload in the criminal justice system, at no cost to the victims or taxpayers.","States Attorney",,,,,,,,,,,,,,68080,100000,238300,280300,584213,351884,70000,200000,67000,0,0,0,,,,,,,,,,,,,,,0,11644.56,4542.9,362265.36,239541.25,29024.12,189471.15,55856.86,0,0
"Special Purpose Fund",564,"TB Sanitarium District","TB Sanitarium",,"To prevent, diagnose, treat, and care for all persons afflicted with tuberculosis who are residents of suburban Cook County.","Cook County Health and Hospital System",,,,,,,,,,,,,,,0,4531500,5094696,6019146,7079751,5715915,5666826,6546902,5581785,5982153,5695934,,,,,,,,,,,,,,,0,3884388.83,3817744.9,3888399.74,5432328.07,4478170.26,4147952.52,4538811.86,3660726.84,4315934.3
"Special Purpose Fund",565,"Department of Homeland Security and Emergency Management","Homeland Security restructured in FY12 and is now under Department 265.",,"The Cook County Department of Homeland Security & Emergency Management  (DHSEM) is responsible for providing a County-wide emergency management system that will integrate all available first responders and their respective departments and resources, key elected and appointed officials and the private sector into a cohesive disaster management team.","President",,,,,,,,,,,,,,,,312800,354130,1016638,853976,,,,,,,,,,,,,,,,,,,,,,0,550763.81,1478906.93,853978,12895.5,,,,
"Special Purpose Fund",566,"State's Attorney Capital Litigation Trust","Litigation Trust",,"Account closed in FY2011","States Attorney",,,,,,,,,,,,,,,,2941500,2904423,2973560,0,,,,,,,,,,,,,,,,,,,,,,1390628.88,2301059.87,2034687.23,,,,,,
"Special Purpose Fund",567,"Clerk of the Circuit Court Administrative Fund","Administrative Fund",,"To be used to offset the costs incurred by the Circuit Court Clerk in performing the additional duties required to collect and disburse funds to entities of State and Local Government as provided by law.","Clerk of the Circuit Court",,,,,,,,,,,,,,,,510800,678688,1219662,1145068,889018,631571,730369,735842,867449,739048,,,,,,,,,,,,,,,,343708.11,586926.63,1175886.85,1172884.44,922250.44,738531.33,783081.34,825686.51,859231.87
"Special Purpose Fund",570,"GIS Fee Fund","GIS Fee Fund",,"Established to fund the Recorder fo Deeds Mortgage Fraud Prevention Program to assist property owners with maintaining ownership of their properties by offering early warning notification whenever documents ar filed that may affect ownership.","Recorder of Deeds",,,,,,,,,,,,,,,,,201379,212902,2176575,2504892,2638445,3599488,2496691,2169922,1503843,,,,,,,,,,,,,,,,,31772.96,160912.17,2196137.97,2382413.74,2596490.87,3234202.89,2050269.41,2030113.56
"Special Purpose Fund",571,"Rental Housing Support Fee Fund","Rental Housing",,"Established to assist property owners with maintaining ownership of their properties by offering early warning notification whenever documents ar filed that may affect ownership.","Recorder of Deeds",,,,,,,,,,,,,,,,,136978,149204,479617,482591,346506,576867,286000,280749,457117,,,,,,,,,,,,,,,,,28453.37,140299.14,540086.21,335609,351980,576867,286000,280749
"Special Purpose Fund",572,"The Children’s Waiting Room Revenue Fund","Children's Waiting Room",,"Created to finance various court services and to operate and administer the children's waiting rooms in Cook County.","Chief Judge",,,,,,,,,,,,,,,,,1258024,1441500,7303534,3206879,1934515,3085407,2427159,2675642,2533548,,,,,,,,,,,,,,,,,1258024,1440581.88,7416749.97,3086009.78,1913922.65,2849345.19,2057311.72,2391909.23
"Special Purpose Fund",573,"Women's Justice Services Fund","Women's Justice",,"Funds utilized for purposes related to operation of the rehabilittion programs provided by The Sheriff's Department of Women's Justice Services, including mental health and substance abuse services.","Sheriff",,,,,,,,,,,,,,,,,,30000,30000,30000,55000,65000,65000,40000,20000,,,,,,,,,,,,,,,,,,0,,205,55000,65000,64398.99,40000
"Special Purpose Fund",574,"The Mental Health Special Revenue Fund","Mental Health",,"Created to finance various court services and to operate and administer the mental health court program in Cook County.","Chief Judge",,,,,,,,,,,,,,,,,,93300,1860000,1100000,1175000,1035000,800000,701539,701254,,,,,,,,,,,,,,,,,,93300,1860000,1100000,1200000,1035000,800000,701539
"Special Purpose Fund",575,"The Peer Court Special Revenue Fund","Peer Court",,"Created to finance various court services and to operate and administer the teen court, peer jury, youth court and other youth diversion programs in Cook County.","Chief Judge",,,,,,,,,,,,,,,,,,1000,45000,30000,1130000,1095000,450000,301148,301107,,,,,,,,,,,,,,,,,,0,,0,565000,1093690.44,450000,301148
"Special Purpose Fund",576,"Drug Court Special Revenue Fund","Drug Court",,"Created to finance various court services and to operate and administer the drug court program in Cook County.","Chief Judge",,,,,,,,,,,,,,,,,,33200,854000,480000,650000,510000,400000,301246,301071,,,,,,,,,,,,,,,,,,33200,854000,480000,700000,510000,400000,301246
"Special Purpose Fund",577,"Vehicle Purchase Fund","Vehicle Purchase",,"These fees, imposed on any person who receives a disposition of court supervision for a violation of the Illinois vehicle code, are disbursed to the law enforcement agency that employed the arresting officer and shall be used for the acquisition or maintenance of police vehicles.","Sheriff",,,,,,,,,,,,,,,,,,200000,200000,200000,200000,0,500000,500000,277500,,,,,,,,,,,,,,,,,,0,,0,0,0,399175,0
"Special Purpose Fund",578,"Cook County Environmental Management Fund","Environmental Management",,"This fund was created for the use of environmental management purposes, including but not limited to consulting fees; long-term monitoring and maintenance of air pollution emiting sites; proper management of Cook County waste streams, etc.","President",,,,,,,,,,,,,,,,,,,61000,40000,0,0,0,,815000,,,,,,,,,,,,,,,,,,,61000,40000,0,0,,694116
"Special Purpose Fund",579,"Assessor Special Revenue Fund","Assessor Special Revenue Fund",,"This fund was created in FY12.","Assessor",,,,,,,,,,,,,,,,,,,,1237508,750000,750000,750000,815000,0,,,,,,,,,,,,,,,,,,,,750000,532682,709368,750000,0
"Special Purpose Fund",580,"Clerk of Circuit Court Electronic Citation Fund","Electronic Citation",,"Established to defray the expense incurred by the Office in performing its required duties of establishing and maintaining electronic citations in any traffic, misdemeanor, municipal ordinance, or conservation case upon a judgement of guilty or grant of supervision.","Clerk of the Circuit Court",,,,,,,,,,,,,,,,,,,1800000,600000,450000,450000,450000,300000,250000,,,,,,,,,,,,,,,,,,,,313301.83,323774.86,450000,274768,244450.87
"Special Purpose Fund",582,"Medical Examiner Fees Fund","Medical Examiner",,"Fund established in 2011 to collect revenues to be used solely for the purchase f electronic amd forensic identification equipment or other related supplies and the operating expenses of the Medical Examiner's Office","President",,,,,,,,,,,,,,,,,,,500000,725000,0,0,0,,0,,,,,,,,,,,,,,,,,,,500000,725000,0,0,0,0
"Special Purpose Fund",583,"State's Attorney Records Automation Fund","State's Attorney",,"Fund established in 2013 to develop and implement cost effective and productivity enhancing Information Technology solutions in order to meet our current and future document storage and records retention needs.","States Attorney",,,,,,,,,,,,,,,,,,,0,0,100000,158000,158000,158000,138000,,,,,,,,,,,,,,,,,,,0,0,100000,158000,88324.93,71271.31
"Special Purpose Fund",584,"PD Records Automation Fund","Public Defender",,"Fund established in 2013 to develop and implement cost effective and productivity enhancing Information Technology solutions in order to meet our current and future document storage and records retention needs.","Public Defender",,,,,,,,,,,,,,,,,,,0,0,100000,158000,158000,158000,138000,,,,,,,,,,,,,,,,,,,0,0,100000,158000,158000,158000
"Special Purpose Fund",585,"Environmental Control Solid Waste Fee","Environmental Control",,"Fund established in 2015 to improve the quality of the environment for the residents of Cook County..","President",,,,,,,,,,,,,,,,,,,0,0,0,0,337693,517590,559102,,,,,,,,,,,,,,,,,,,0,0,0,0,241945,81603.83
